pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,league_name,club_name,nationality_name,skill_moves,release_clause_eur,preferred_foot,composite_score,rank_overall,rank_composite
97.0,89.0,80.0,92.0,36.0,76.0,78,93,72,K. Mbappé,Kylian Mbappé Lottin,"ST, LW",91,95,190500000.0,230000.0,23,182,73,Ligue 1,Paris Saint Germain,France,5,366700000.0,Right,86.07999999999998,1,1
74.0,88.0,93.0,87.0,63.0,77.0,94,85,55,K. De Bruyne,Kevin De Bruyne,"CM, CAM",91,91,107500000.0,350000.0,31,181,75,Premier League,Manchester City,Belgium,4,198900000.0,Right,85.84,1,2
90.0,89.0,82.0,90.0,45.0,75.0,80,93,59,M. Salah,Mohamed Salah Ghaly,RW,90,90,115500000.0,270000.0,30,175,71,Premier League,Liverpool,Egypt,4,213700000.0,Left,85.32,2,3
81.0,89.0,90.0,94.0,34.0,64.0,84,90,70,L. Messi,Lionel Andrés Messi Cuccittini,RW,91,91,54000000.0,195000.0,35,169,67,Ligue 1,Paris Saint Germain,Argentina,4,99900000.0,Left,84.76,1,4
80.0,88.0,83.0,87.0,39.0,78.0,75,92,90,K. Benzema,Karim Benzema,"CF, ST",91,91,64000000.0,450000.0,34,185,81,La Liga,Real Madrid,France,4,131200000.0,Right,83.97999999999999,1,5
78.0,82.0,82.0,83.0,81.0,86.0,75,82,86,L. Goretzka,Leon Christoph Goretzka,"CM, CDM",87,88,91000000.0,115000.0,27,189,82,Bundesliga,FC Bayern München,Germany,3,157000000.0,Right,83.82,5,6
85.0,73.0,85.0,85.0,81.0,73.0,88,69,72,João Cancelo,João Pedro Cavaco Cancelo,"LB, RB",88,88,82500000.0,250000.0,28,182,74,Premier League,Manchester City,Portugal,4,152600000.0,Right,83.8,4,7
75.0,91.0,79.0,86.0,44.0,83.0,71,94,91,R. Lewandowski,Robert Lewandowski,ST,91,91,84000000.0,420000.0,33,185,81,La Liga,FC Barcelona,Poland,4,172200000.0,Right,83.74000000000001,1,8
88.0,82.0,80.0,88.0,44.0,77.0,78,85,84,S. Mané,Sadio Mané,"CF, LM",89,89,101000000.0,155000.0,30,174,69,Bundesliga,FC Bayern München,Senegal,4,166700000.0,Right,83.42,3,9
87.0,83.0,85.0,93.0,37.0,61.0,83,83,63,Neymar Jr,Neymar da Silva Santos Júnior,LW,89,89,99500000.0,200000.0,30,175,68,Ligue 1,Paris Saint Germain,Brazil,5,184100000.0,Right,83.24,3,10
88.0,79.0,82.0,81.0,78.0,82.0,73,75,59,F. Valverde,Federico Santiago Valverde Dipetta,"CM, RW",85,90,81000000.0,190000.0,23,182,78,La Liga,Real Madrid,Uruguay,3,172100000.0,Right,83.2,7,11
82.0,69.0,86.0,87.0,77.0,78.0,78,72,72,F. de Jong,Frenkie de Jong,CM,87,92,116500000.0,230000.0,25,180,74,La Liga,FC Barcelona,Netherlands,4,247600000.0,Right,82.98000000000002,5,12
88.0,89.0,80.0,85.0,42.0,69.0,83,91,68,H. Son,손흥민 孙兴慜,"LW, LM, ST",88,88,89500000.0,230000.0,29,183,78,Premier League,Tottenham Hotspur,Korea Republic,4,170100000.0,Right,82.9,4,13
88.0,81.0,83.0,88.0,62.0,66.0,81,86,61,C. Nkunku,Christopher Nkunku,"CF, CAM, ST",86,89,94000000.0,90000.0,24,175,73,Bundesliga,RB Leipzig,France,5,166900000.0,Right,82.87999999999998,6,14
89.0,91.0,65.0,80.0,49.0,88.0,47,94,79,E. Haaland,Erling Braut Haaland,ST,89,94,160000000.0,230000.0,21,195,94,Premier League,Manchester City,Norway,3,308000000.0,Left,82.82,3,15
68.0,72.0,87.0,84.0,83.0,79.0,91,68,72,J. Kimmich,Joshua Walter Kimmich,"CDM, RB, CM",89,90,105500000.0,130000.0,27,177,75,Bundesliga,FC Bayern München,Germany,3,182000000.0,Right,82.64,3,16
88.0,79.0,80.0,82.0,78.0,81.0,74,80,67,Marcos Llorente,Marcos Llorente Moreno,"CM, RM, RB",84,85,48000000.0,81000.0,27,184,74,La Liga,Atlético Madrid,Spain,3,104400000.0,Right,82.61999999999999,8,17
74.0,78.0,84.0,92.0,66.0,68.0,85,79,51,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,"CAM, CM",88,88,97500000.0,260000.0,27,173,64,Premier League,Manchester City,Portugal,4,180400000.0,Left,82.6,4,18
73.0,76.0,89.0,88.0,72.0,66.0,86,72,55,L. Modrić,Luka Modrić,CM,88,88,29000000.0,230000.0,36,172,66,La Liga,Real Madrid,Croatia,4,59500000.0,Right,82.59999999999998,4,19
79.0,76.0,83.0,84.0,78.0,81.0,79,73,53,N. Barella,Nicolò Barella,CM,86,89,89500000.0,110000.0,25,175,68,Serie A,Inter,Italy,3,154400000.0,Right,82.58,6,20
69.0,91.0,83.0,83.0,47.0,82.0,80,93,85,H. Kane,Harry Kane,ST,89,89,105500000.0,240000.0,28,188,89,Premier League,Tottenham Hotspur,England,3,200500000.0,Right,82.46,3,21
93.0,72.0,76.0,81.0,78.0,83.0,84,69,74,T. Hernández,Theo Bernard François Hernández,LB,85,90,76000000.0,82000.0,24,184,81,Serie A,Milan,France,3,134900000.0,Left,82.3,7,22
76.0,74.0,83.0,86.0,81.0,84.0,86,66,61,M. Acuña,Marcos Javier Acuña,"LB, LM",85,85,46500000.0,46000.0,30,172,69,La Liga,Sevilla,Argentina,3,97700000.0,Left,82.18,7,23
72.0,86.0,87.0,81.0,68.0,76.0,85,83,64,Bruno Fernandes,Bruno Miguel Borges Fernandes,"CAM, CM",86,86,72500000.0,190000.0,27,179,69,Premier League,Manchester United,Portugal,4,137800000.0,Right,82.16,6,24
85.0,78.0,82.0,82.0,68.0,80.0,92,76,59,F. Kostić,Filip Kostić,"LM, LW, LWB",85,85,53000000.0,165000.0,29,184,84,Serie A,Juventus,Serbia,3,90100000.0,Left,82.12,7,25
92.0,75.0,79.0,80.0,75.0,78.0,84,75,68,A. Hakimi,Achraf Hakimi Mouh,"RB, RWB",84,87,53500000.0,90000.0,23,181,73,Ligue 1,Paris Saint Germain,Morocco,4,103000000.0,Right,81.9,8,26
68.0,80.0,82.0,82.0,79.0,86.0,71,82,86,S. Milinković-Savić,Sergej Milinković-Savić,CM,86,87,77500000.0,90000.0,27,192,76,Serie A,Lazio,Serbia,4,137600000.0,Right,81.74,6,27
79.0,71.0,83.0,80.0,85.0,77.0,83,63,77,D. Alaba,David Olatukunbo Alaba,"CB, LB",86,86,55500000.0,220000.0,30,180,78,La Liga,Real Madrid,Austria,3,113800000.0,Left,81.67999999999999,6,28
83.0,79.0,85.0,83.0,68.0,72.0,81,78,50,Canales,Sergio Canales Madrazo,"RM, CAM, LM",84,84,35000000.0,42000.0,31,176,65,La Liga,Real Betis,Spain,4,73500000.0,Left,81.6,8,29
81.0,72.0,83.0,82.0,81.0,82.0,88,69,75,R. James,Reece James,"RWB, RB",84,88,57000000.0,120000.0,22,178,87,Premier League,Chelsea,England,3,109700000.0,Right,81.54,8,30
